==> ../CT10/000/ci0049.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  2.000  0.500	   3.250e-02    2.497e-02  3.250e-02  2.497e-02
  0.500  1.000	   3.135e-02    2.395e-02  3.135e-02  2.395e-02
  1.000  1.000	   2.996e-02    2.467e-02  2.996e-02  2.467e-02
  2.000  1.000	   2.876e-02    2.509e-02  2.876e-02  2.509e-02
  0.500  2.000	   2.797e-02    2.478e-02  2.797e-02  2.478e-02
  1.000  2.000	   2.672e-02    2.502e-02  2.672e-02  2.502e-02
  2.000  2.000	   2.566e-02    2.508e-02  2.566e-02  2.508e-02
==> ../CT10/000/ci1172.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   2.856e-02    1.858e-02  2.856e-02  1.858e-02
  1.000  0.500	   2.736e-02    1.958e-02  2.736e-02  1.958e-02
  2.000  0.500	   2.633e-02    2.027e-02  2.633e-02  2.027e-02
  0.500  1.000	   2.518e-02    1.957e-02  2.518e-02  1.957e-02
  1.000  1.000	   2.412e-02    2.009e-02  2.412e-02  2.009e-02
  2.000  1.000	   2.322e-02    2.040e-02  2.322e-02  2.040e-02
  0.500  2.000	   2.235e-02    2.025e-02  2.235e-02  2.025e-02
  1.000  2.000	   2.141e-02    2.039e-02  2.141e-02  2.039e-02
  2.000  2.000	   2.060e-02    2.040e-02  2.060e-02  2.040e-02
==> ../CT10/000/ci1248.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   2.203e-02    1.453e-02  2.203e-02  1.453e-02
  1.000  0.500	   2.116e-02    1.526e-02  2.116e-02  1.526e-02
  2.000  0.500	   2.041e-02    1.576e-02  2.041e-02  1.576e-02
  0.500  1.000	   1.929e-02    1.527e-02  1.929e-02  1.527e-02
  1.000  1.000	   1.853e-02    1.563e-02  1.853e-02  1.563e-02
  2.000  1.000	   1.787e-02    1.584e-02  1.787e-02  1.584e-02
  0.500  2.000	   1.706e-02    1.578e-02  1.706e-02  1.578e-02
  1.000  2.000	   1.638e-02    1.585e-02  1.638e-02  1.585e-02
  2.000  2.000	   1.580e-02    1.582e-02  1.580e-02  1.582e-02
==> ../CT10/000/ci1327.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   1.688e-02    1.127e-02  1.688e-02  1.127e-02
  1.000  0.500	   1.625e-02    1.180e-02  1.625e-02  1.180e-02
  2.000  0.500	   1.570e-02    1.217e-02  1.570e-02  1.217e-02
  0.500  1.000	   1.469e-02    1.183e-02  1.469e-02  1.183e-02
  1.000  1.000	   1.414e-02    1.207e-02  1.414e-02  1.207e-02
  2.000  1.000	   1.367e-02    1.221e-02  1.367e-02  1.221e-02
  0.500  2.000	   1.290e-02    1.219e-02  1.290e-02  1.219e-02
